episode,reward,moving_avg_50
301,4.0,2.888
302,4.0,2.948
303,3.0,2.928
304,6.0,2.988
305,-2.0,2.8280000000000003
306,3.0,2.8280000000000003
307,5.0,2.8280000000000003
308,3.0,2.8280000000000003
309,-2.0,2.748
310,-1.0,2.648
311,3.0,2.648
312,6.0,2.688
313,5.0,2.7680000000000002
314,3.0,2.858
315,4.0,2.898
316,2.0,2.838
317,3.0,2.798
318,3.0,2.758
319,-0.5,2.708
320,6.0,2.7680000000000002
321,1.0,2.728
322,2.0,2.748
323,4.0,2.8080000000000003
324,1.0,2.7680000000000002
325,3.0,2.7680000000000002
326,2.0,2.81
327,2.0,2.77
328,1.0,2.75
329,3.0,2.75
330,2.0,2.71
331,2.0,2.71
332,-2.5,2.58
333,4.0,2.62
334,5.0,2.7
335,1.0,2.64
336,3.0,2.64
337,1.0,2.58
338,0.0,2.5
339,6.0,2.56
340,5.0,2.62
341,-2.5,2.45
342,6.0,2.53
343,2.0,2.51
344,3.0,2.51
345,3.0,2.53
346,4.0,2.61
347,-1.5,2.48
348,1.0,2.46
349,3.0,2.44
350,3.0,2.48
351,5.0,2.5
352,-2.0,2.38
353,3.0,2.38
354,3.0,2.32
355,3.0,2.42
356,6.0,2.48
357,4.0,2.46
358,3.0,2.46
359,4.0,2.58
360,2.0,2.64
361,2.0,2.62
362,2.0,2.54
363,3.0,2.5
364,4.0,2.52
365,4.0,2.52
366,-1.0,2.46
367,4.0,2.48
368,4.0,2.5
369,3.0,2.57
370,5.0,2.55
371,5.0,2.63
372,2.0,2.63
373,1.0,2.57
374,1.0,2.57
375,1.0,2.53
376,4.0,2.57
377,2.0,2.57
378,1.0,2.57
379,3.0,2.57
380,5.0,2.63
381,1.0,2.61
382,3.0,2.72
383,2.0,2.68
384,3.0,2.64
385,2.0,2.66
386,-0.5,2.59
387,4.0,2.65
388,4.0,2.73
389,2.0,2.65
390,2.0,2.59
391,2.0,2.68
392,4.0,2.64
393,5.0,2.7
394,6.0,2.76
395,4.0,2.78
396,2.0,2.74
397,3.0,2.83
398,2.0,2.85
399,-1.0,2.77
400,6.0,2.83
401,6.0,2.85
402,5.0,2.99
403,5.0,3.03
404,1.0,2.99
405,3.0,2.99
406,0.0,2.87
407,5.0,2.89
408,3.0,2.89
409,5.0,2.91
410,1.0,2.89
411,3.0,2.91
412,4.0,2.95
413,4.0,2.97
414,5.0,2.99
415,4.0,2.99
416,4.0,3.09
417,3.0,3.07
418,6.0,3.11
419,3.0,3.11
420,1.0,3.03
421,1.0,2.95
422,1.0,2.93
423,4.0,2.99
424,4.0,3.05
425,4.0,3.11
426,2.0,3.07
427,3.0,3.09
428,4.0,3.15
429,5.0,3.19
430,2.0,3.13
431,2.0,3.15
432,4.0,3.17
433,5.0,3.23
434,2.0,3.21
435,3.0,3.23
436,3.0,3.3
437,-1.5,3.19
438,4.0,3.19
439,1.0,3.17
440,2.0,3.17
441,1.0,3.15
442,1.0,3.09
443,3.0,3.05
444,4.0,3.01
445,4.0,3.01
446,1.0,2.99
447,4.0,3.01
448,2.0,3.01
449,0.0,3.03
450,3.0,2.97
451,4.0,2.93
452,4.0,2.91
453,3.0,2.87
454,3.0,2.91
455,-1.5,2.82
456,2.0,2.86
457,-2.0,2.72
458,3.0,2.72
459,4.0,2.7
460,1.0,2.7
461,4.0,2.72
462,5.0,2.74
463,2.0,2.7
464,2.0,2.64
465,1.0,2.58
466,5.0,2.6
467,2.0,2.58
468,3.0,2.52
469,3.0,2.52
470,2.0,2.54
471,4.0,2.6
472,-1.5,2.55
473,4.0,2.55
474,4.0,2.55
475,3.0,2.53
476,2.0,2.53
477,4.0,2.55
478,2.0,2.51
479,5.0,2.51
480,2.0,2.51
481,1.0,2.49
482,-2.0,2.37
483,4.0,2.35
484,2.0,2.35
485,4.0,2.37
486,2.0,2.35
487,5.0,2.48
488,3.0,2.46
489,4.0,2.52
490,1.0,2.5
491,3.0,2.54
492,4.0,2.6
493,5.0,2.64
494,4.0,2.64
495,3.0,2.62
496,0.0,2.6
497,2.0,2.56
498,4.0,2.6
499,1.0,2.62
500,5.0,2.66
501,3.0,2.64
502,3.0,2.62
503,5.0,2.66
504,6.0,2.72
505,3.0,2.81
506,2.0,2.81
507,1.0,2.87
508,3.0,2.87
509,1.0,2.81
510,3.0,2.85
511,4.0,2.85
512,4.0,2.83
513,6.0,2.91
514,3.0,2.93
515,0.0,2.91
516,5.0,2.91
517,5.0,2.97
518,5.0,3.01
519,2.0,2.99
520,4.0,3.03
521,2.0,2.99
522,2.0,3.06
523,3.0,3.04
524,2.0,3.0
525,4.0,3.02
526,2.0,3.02
527,0.0,2.94
528,4.0,2.98
529,3.0,2.94
530,1.0,2.92
531,3.0,2.96
532,3.0,3.06
533,2.0,3.02
534,2.0,3.02
535,5.0,3.04
536,1.0,3.02
537,4.0,3.0
538,-1.0,2.92
539,4.0,2.92
540,5.0,3.0
541,0.0,2.94
542,4.0,2.94
543,4.0,2.92
544,0.0,2.84
545,4.0,2.86
546,4.0,2.94
547,3.0,2.96
548,5.0,2.98
549,6.0,3.08
550,4.0,3.06
551,4.0,3.08
552,5.0,3.12
553,4.0,3.1
554,6.0,3.1
555,3.0,3.1
556,6.0,3.18
557,3.0,3.22
558,4.0,3.24
559,3.0,3.28
560,3.0,3.28
561,5.0,3.3
562,4.0,3.3
563,4.0,3.26
564,2.0,3.24
565,4.0,3.32
566,6.0,3.34
567,4.0,3.32
568,3.0,3.28
569,4.0,3.32
570,4.0,3.32
571,5.0,3.38
572,6.0,3.46
573,2.0,3.44
574,3.0,3.46
575,4.0,3.46
576,2.0,3.46
577,5.0,3.56
578,6.0,3.6
579,4.0,3.62
580,0.0,3.6
581,3.0,3.6
582,2.0,3.58
583,3.0,3.6
584,4.0,3.64
585,3.0,3.6
586,4.0,3.66
587,4.0,3.66
588,1.0,3.7
589,2.0,3.66
590,-1.5,3.53
591,3.0,3.59
592,5.0,3.61
593,3.0,3.59
594,1.0,3.61
595,5.0,3.63
596,4.0,3.63
597,2.0,3.61
598,4.0,3.59
599,3.0,3.53
